epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,254.648,1.2227,0.93642,1,1.13633,0.000234909,0.000234909,0.000234909
2,504.368,0.37427,0.95954,1,0.98017,0.0004495,0.0004495,0.0004495
3,746.751,0.19615,0.95954,1,0.95193,0.000640529,0.000640529,0.000640529
4,996.814,0.15752,0.9711,1,0.94471,0.000607971,0.000607971,0.000607971
5,1245.45,0.13117,0.97688,1,0.92797,0.000572628,0.000572628,0.000572628
6,1490.46,0.13994,0.97688,1,0.92648,0.000537285,0.000537285,0.000537285
7,28378.2,0.14149,0.97688,1,0.9403,0.000501942,0.000501942,0.000501942
8,33711.7,0.11159,0.9711,1,0.9331,0.000466599,0.000466599,0.000466599
9,33869.1,0.08612,0.9711,1,0.93615,0.000431256,0.000431256,0.000431256
10,34029.2,0.08919,0.96532,1,0.93045,0.000395913,0.000395913,0.000395913
